schema_version,time_s,step,fz_fl_n,fx_fl_n,fy_fl_n,slip_angle_fl_rad,force_capacity_fl_n,tire_saturated_fl,fz_fr_n,fx_fr_n,fy_fr_n,slip_angle_fr_rad,force_capacity_fr_n,tire_saturated_fr,fz_rl_n,fx_rl_n,fy_rl_n,slip_angle_rl_rad,force_capacity_rl_n,tire_saturated_rl,fz_rr_n,fx_rr_n,fy_rr_n,slip_angle_rr_rad,force_capacity_rr_n,tire_saturated_rr
1,0,0,3068.5007849999997,0,0,-0,3889.5031398121569,0,3068.5007849999997,0,0,-0,3889.5031398121569,0,4237.4534649999996,0,0,-0,5234.2990724572801,0,4237.4534649999996,0,0,-0,5234.2990724572801,0
1,0.0050000000000000001,1,3079.3070932477976,-0.076058289450000011,0,-0,3902.1031809102992,0,3079.3070932477976,-0.076058289450000011,0,-0,3902.1031809102992,0,4248.4316040968688,-0.052854065550000016,0,-0,5246.7736308927388,0,4248.4316040968688,-0.052854065550000016,0,-0,5246.7736308927388,0
1,0.01,2,3090.4154155129895,-0.30321565560000002,0,-0,3915.0516807032172,0,3090.4154155129895,-0.30321565560000002,0,-0,3915.0516807032172,0,4260.0521925891317,-0.21070918440000003,0,-0,5259.9754012379808,0,4260.0521925891317,-0.21070918440000003,0,-0,5259.9754012379808,0
1,0.014999999999999999,3,3101.7558158400307,-0.67994584514999989,0,-0,3928.2668637799175,0,3101.7558158400307,-0.67994584514999989,0,-0,3928.2668637799175,0,4272.2383423626607,-0.47250473985000002,0,-0,5273.8165930518317,0,4272.2383423626607,-0.47250473985000002,0,-0,5273.8165930518317,0
1,0.02,4,3113.261377621674,-1.2047226047999999,0,-0,3941.670563110808,0,3113.261377621674,-1.2047226047999999,0,-0,3941.670563110808,0,4284.9134887414502,-0.83718011520000002,0,-0,5288.2098431555505,0,4284.9134887414502,-0.83718011520000002,0,-0,5288.2098431555505,0
1,0.025000000000000001,5,3124.8683651504552,-1.8760196812500003,0,-0,3955.188406200311,0,3124.8683651504552,-1.8760196812500003,0,-0,3955.188406200311,0,4298.0017113612757,-1.3036746937500006,0,-0,5303.0685876901762,0,4298.0017113612757,-1.3036746937500006,0,-0,5303.0685876901762,0
1,0.029999999999999999,6,3136.5163593629763,-2.6923108211999995,0,-0,3968.7499693454211,0,3136.5163593629763,-2.6923108211999995,0,-0,3968.7499693454211,0,4311.4280404303981,-1.8709278588,0,-0,5318.3074156213361,0,4311.4280404303981,-1.8709278588,0,-0,5318.3074156213361,0
1,0.035000000000000003,7,3148.1483686202455,-3.6520697713500008,0,-0,3982.2889012908786,0,3148.1483686202455,-3.6520697713500008,0,-0,3982.2889012908786,0,4325.1187475592278,-2.5378789936500006,0,-0,5333.8424028026238,0,4325.1187475592278,-2.5378789936500006,0,-0,5333.8424028026238,0
1,0.040000000000000001,8,3159.7109154466325,-4.7537702783999993,0,-0,3995.7430176577295,0,3159.7109154466325,-4.7537702783999993,0,-0,3995.7430176577295,0,4339.0016204387439,-3.3034674816000003,0,-0,5349.5914258541161,0,4339.0016204387439,-3.3034674816000003,0,-0,5349.5914258541161,0
1,0.044999999999999998,9,3171.1541002195027,-5.9958860890499999,0,-0,4009.0543675906742,0,3171.1541002195027,-5.9958860890499999,0,-0,4009.0543675906742,0,4353.0062207452456,-4.1666327059500006,0,-0,5365.4744552531838,0,4353.0062207452456,-4.1666327059500006,0,-0,5365.4744552531838,0
