schema_version,time_s,step,heave_m,roll_rad,pitch_rad,heave_rate_m_s,roll_rate_rad_s,pitch_rate_rad_s,compression_fl_m,compression_fr_m,compression_rl_m,compression_rr_m,gravity_x_m_s2,gravity_y_m_s2,gravity_z_m_s2
1,0,0,0,0,0,0,0,0,-0,0,0,0,1.7029069015174025,0,-9.6576649510771695
1,0.0050000000000000001,1,1.8246714956897319e-06,0,-5.2994822140888817e-09,0.00072232159175975984,0,-3.1540703906191696e-06,-1.8164647175329939e-06,-1.8164647175329939e-06,-1.8306143350446112e-06,-1.8306143350446112e-06,1.7029069015174025,0,-9.6576649510771695
1,0.01,2,7.1472639612159182e-06,0,-4.1379649196563559e-08,0.0013990922721592814,0,-1.221049905560826e-05,-7.0831834364701201e-06,-7.0831834364701201e-06,-7.1936670998249445e-06,-7.1936670998249445e-06,1.7029069015174025,0,-9.6576649510771695
1,0.014999999999999999,3,1.5739078468809398e-05,0,-1.3621809929488038e-07,0.0020299727149011206,0,-2.6554598390651141e-05,-1.5528131120241347e-05,-1.5528131120241347e-05,-1.5891833445358678e-05,-1.5891833445358678e-05,1.7029069015174025,0,-9.6576649510771695
1,0.02,4,2.7370285179644518e-05,0,-3.1470869579485299e-07,0.0026148477395416415,0,-4.5568498253319823e-05,-2.6882927293336607e-05,-2.6882927293336607e-05,-2.7723199511108865e-05,-2.7723199511108865e-05,1.7029069015174025,0,-9.6576649510771695
1,0.025000000000000001,5,4.1811011766310064e-05,0,-5.986593407410259e-07,0.0031538133602335111,0,-6.8636548497461343e-05,-4.0883927911238509e-05,-4.0883927911238509e-05,-4.2482348351017049e-05,-4.2482348351017049e-05,1.7029069015174025,0,-9.6576649510771695
1,0.029999999999999999,6,5.8832366708060844e-05,0,-1.0068156763902121e-06,0.0036471636972207379,0,-9.5150286973323382e-05,-5.7273211951602962e-05,-5.7273211951602962e-05,-5.9961409807564827e-05,-5.9961409807564827e-05,1.7029069015174025,0,-9.6576649510771695
1,0.035000000000000003,7,7.8207396936438801e-05,0,-1.5549085365398031e-06,0.0040953778160017209,0,-0.00012451297147818502,-7.5799465576753268e-05,-7.5799465576753268e-05,-7.9951071369314532e-05,-7.9951071369314532e-05,1.7029069015174025,0,-9.6576649510771695
1,0.040000000000000001,8,9.9711979624168482e-05,0,-2.2557229699968706e-06,0.0044991065553656433,0,-0.00015614367714365302,-9.6218767032831326e-05,-9.6218767032831326e-05,-0.00010224154736272298,-0.00010224154736272298,1.7029069015174025,0,-9.6576649510771695
1,0.044999999999999998,9,0.00012312564820692948,0,-3.119186672902274e-06,0.0048591594017732493,0,-0.00018948096351381182,-0.00011829527572527302,-0.00011829527572527302,-0.00012662350414192208,-0.00012662350414192208,1.7029069015174025,0,-9.6576649510771695
1,0.050000000000000003,10,0.00014823235300560748,0,-4.1524756943275584e-06,0.0051764914638107555,0,-0.00022398611810267751,-0.00014180182914537182,-0.00014180182914537182,-0.00015288893924922641,-0.00015288893924922641,1.7029069015174025,0,-9.6576649510771695
1,0.055,11,0.000174821157075929,0,-5.3601353193580718e-06,0.0054521905967121424,0,-0.00025914598552237168,-0.00016652045152037108,-0.00016652045152037108,-0.00018083201282305714,-0.00018083201282305714,1.7029069015174025,0,-9.6576649510771695
1,0.059999999999999998,12,0.00020268686815307237,0,-6.7442140846114185e-06,0.0056874647232345484,0,-0.00029447539334703511,-0.00019224277822164313,-0.00019224277822164313,-0.00021024982982755563,-0.00021024982982755563,1.7029069015174025,0,-9.6576649510771695
1,0.065000000000000002,13,0.00023163060778106964,0,-8.3044089416807203e-06,0.0058836293934983021,0,-0.00032951918772652488,-0.00021877040009398287,-0.00021877040009398287,-0.00024094317196827041,-0.00024094317196827041,1.7029069015174025,0,-9.6576649510771695
1,0.070000000000000007,14,0.00026146031892078998,0,-1.0038219653225473e-05,0.0060420956227795822,0,-0.00036385389339309369,-0.00024591513196580502,-0.00024591513196580502,-0.00027271717843991704,-0.00027271717843991704,1.7029069015174025,0,-9.6576649510771695
1,0.074999999999999997,15,0.0002919912135163028,0,-1.1941110583275153e-05,0.0061643580426819968,0,-0.00039708901411968187,-0.00027349920966704291,-0.00027349920966704291,-0.00030538197492438755,-0.00030538197492438755,1.7029069015174025,0,-9.6576649510771695
1,0.080000000000000002,16,0.00032304616166779413,0,-1.4006678126710304e-05,0.0062519833976238713,0,-0.0004288679908972541,-0.00030135541992077052,-0.00030135541992077052,-0.00033875325051908704,-0.00033875325051908704,1.7029069015174025,0,-9.6576649510771695
1,0.085000000000000006,17,0.00035445602421033996,0,-1.6226822111828131e-05,0.0063065994151708495,0,-0.00045886883610813365,-0.00032932716748796292,-0.00032932716748796292,-0.00037265278252654401,-0.00037265278252654401,1.7029069015174025,0,-9.6576649510771695
1,0.089999999999999997,18,0.00038605993063215756,0,-1.8591919603409259e-05,0.0063298840754270596,0,-0.00048680446279118111,-0.00035726848393431796,-0.00035726848393431796,-0.00040690890927542068,-0.00040690890927542068,1.7029069015174025,0,-9.6576649510771695
1,0.095000000000000001,19,0.00041770550438393565,0,-2.1090999630847546e-05,0.0063235553014805955,0,-0.00051242272873150896,-0.00038504398235560513,-0.00038504398235560513,-0.00044135695136996806,-0.00044135695136996806,1.7029069015174025,0,-9.6576649510771695
1,0.10000000000000001,20,0.00044924903773299954,0,-2.3711917465798992e-05,0.0062893610897876593,0,-0.00053550621557174366,-0.00041252876234546324,-0.00041252876234546324,-0.00047583958197914655,-0.00047583958197914655,1.7029069015174025,0,-9.6576649510771695
1,0.105,21,0.00048055561840294069,0,-2.6441527175609891e-05,0.006229070096379785,0,-0.00055587176344312587,-0.00043960826941879123,-0.00043960826941879123,-0.00051020714697766966,-0.00051020714697766966,1.7029069015174025,0,-9.6576649510771695
1,0.11,22,0.00051149921031150823,0,-2.9265851281708653e-05,0.0061444626918965078,0,-0.00057336978176324215,-0.00046617811301665423,-0.00046617811301665423,-0.00054431793593881636,-0.00054431793593881636,1.7029069015174025,0,-9.6576649510771695
1,0.115,23,0.00054196269077761707,0,-3.2170246455450807e-05,0.0060373224956850576,0,-0.00058788335685265375,-0.000492143847116706,-0.000492143847116706,-0.00057803840515275955,-0.00057803840515275955,1.7029069015174025,0,-9.6576649510771695
1,0.12,24,0.00057183784661289649,0,-3.513956428690391e-05,0.0059094283965735687,0,-0.0005993271768958867,-0.00051742071735819714,-0.00051742071735819714,-0.00061124335400423058,-0.00061124335400423058,1.7029069015174025,0,-9.6576649510771695
1,0.125,25,0.00060102533154491212,0,-3.8158306264112693e-05,0.0057625470654177283,0,-0.00060764629452318296,-0.00054193337846430718,-0.00054193337846430718,-0.00064381605618948814,-0.00064381605618948814,1.7029069015174025,0,-9.6576649510771695
1,0.13,26,0.0006294345874387024,0,-4.1210772200908895e-05,0.0055984259621448375,0,-0.00061281474692858066,-0.00056561558560837483,-0.00056561558560837483,-0.00067564834738480164,-0.00067564834738480164,1.7029069015174025,0,-9.6576649510771695
1,0.13500000000000001,27,0.00065698373179122406,0,-4.4281201449792711e-05,0.0054187868377758392,0,-0.000614834052977579,-0.00058840986322607506,-0.00058840986322607506,-0.00070664067109702162,-0.00070664067109702162,1.7029069015174025,0,-9.6576649510771695
1,0.14000000000000001,28,0.00068359941397037427,0,-4.7353906332330555e-05,0.0052253197297958114,0,-0.0006137316062039583,-0.00061026715462412714,-0.00061026715462412714,-0.00073670208453144976,-0.00073670208453144976,1.7029069015174025,0,-9.6576649510771695
1,0.14499999999999999,29,0.00070921664265711267,0,-5.041339731245604e-05,0.0050196774472671237,0,-0.00060955898196020223,-0.0006311464555790432,-0.0006311464555790432,-0.00076575022640330088,-0.00076575022640330088,1.7029069015174025,0,-9.6576649510771695
1,0.14999999999999999,30,0.00073377858692651665,0,-5.3444499527644345e-05,0.0048034705402371361,0,-0.00060239017627933484,-0.00065101443495800657,-0.00065101443495800657,-0.00079371124869681705,-0.00079371124869681705,1.7029069015174025,0,-9.6576649510771695
1,0.155,31,0.00075723635337203205,0,-5.643246037882094e-05,0.0045782627462825501,0,-0.00059231979323705504,-0.00066984504522938997,-0.00066984504522938997,-0.0008205197144408418,-0.0008205197144408418,1.7029069015174025,0,-9.6576649510771695
1,0.16,32,0.00077954874163739453,0,-5.9363047961775963e-05,0.0043455669054551158,0,-0.00057946119678128959,-0.00068761912556378831,-0.00068761912556378831,-0.00084611846362173007,-0.00084611846362173007,1.7029069015174025,0,-9.6576649510771695
1,0.16500000000000001,33,0.00080068198067334876,0,-6.2222640200542537e-05,0.0041068413334460841,0,-0.00056394464213029212,-0.00070432400005878857,-0.00070432400005878857,-0.00087045844939423716,-0.00087045844939423716,1.7029069015174025,0,-9.6576649510771695
1,0.17000000000000001,34,0.00082060944798202726,0,-6.4998304616462605e-05,0.0038634866414677164,0,-0.00054591540093894188,-0.00071995307345297326,-0.00071995307345297326,-0.0008934985467789284,-0.0008934985467789284,1.7029069015174025,0,-9.6576649510771695
1,0.17500000000000002,35,0.00083931137405130927,0,-6.767786873534894e-05,0.0036168429901571745,0,-0.00052553189350369408,-0.0007345054265277479,-0.0007345054265277479,-0.00091520533605112951,-0.00091520533605112951,1.7029069015174025,0,-9.6576649510771695
1,0.17999999999999999,36,0.00085677453411528079,0,-7.0249981199138755e-05,0.0033681877637381352,0,-0.00050296384032778646,-0.00074798541323029455,-0.00074798541323029455,-0.00093555286303199502,-0.00093555286303199502,1.7029069015174025,0,-9.6576649510771695
1,0.185,37,0.00087299192930566892,0,-7.2704163707642386e-05,0.0031187336497257023,0,-0.00047839044440673264,-0.00076040226138801396,-0.00076040226138801396,-0.00095452237848741911,-0.00095452237848741911,1.7029069015174025,0,-9.6576649510771695
1,0.19,38,0.00088796245918342236,0,-7.5030853970373465e-05,0.0028696271086271576,0,-0.0004519986146268459,-0.00077176967872490197,-0.00077176967872490197,-0.00097210205882579913,-0.00097210205882579913,1.7029069015174025,0,-9.6576649510771695
1,0.19500000000000001,39,0.00090169058756002626,0,-7.7221439897992556e-05,0.0026219472173712238,0,-0.00042398123970291917,-0.00078210546573399494,-0.00078210546573399494,-0.00098828671026163521,-0.00098828671026163521,1.7029069015174025,0,-9.6576649510771695
1,0.20000000000000001,40,0.00091418600343523007,0,-7.926828530762277e-05,0.0023767048695879566,0,-0.00039453552112103923,-0.00079143113680784543,-0.00079143113680784543,-0.0010030774585791983,-0.0010030774585791983,1.7029069015174025,0,-9.6576649510771695
1,0.20500000000000002,41,0.0009254632787921755,0,-8.1164747456249304e-05,0.0021348423153562538,0,-0.00036386137260439373,-0.00079977155088142783,-0.00079977155088142783,-0.0010164814265896135,-0.0010164814265896135,1.7029069015174025,0,-9.6576649510771695
1,0.20999999999999999,42,0.00093554152490294058,0,-8.2905186751668444e-05,0.0018972330226318202,0,-0.00033215989268888955,-0.00080715455269930682,-0.00080715455269930682,-0.0010285114013262615,-0.0010285114013262615,1.7029069015174025,0,-9.6576649510771695
1,0.215,43,0.00094444404870777621,0,-8.4484969021102237e-05,0.001664681842261096,0,-0.00029963191608589526,-0.0008136106256816973,-0.0008136106256816973,-0.0010391854929680403,-0.0010391854929680403,1.7029069015174025,0,-9.6576649510771695
1,0.22,44,0.00095219801074026167,0,-8.5900460743760176e-05,0.0014379254582716858,0,-0.00026647664862559521,-0.00081917255723247464,-0.00081917255723247464,-0.0010485267874183143,-0.0010485267874183143,1.7029069015174025,0,-9.6576649510771695
1,0.22500000000000001,45,0.00095883408597870559,0,-8.7149017675448252e-05,0.0012176331050025193,0,-0.00023289038972003069,-0.00082387511720650639,-0.00082387511720650639,-0.0010565629943999533,-0.0010565629943999533,1.7029069015174025,0,-9.6576649510771695
1,0.23000000000000001,46,0.00096438612891179022,0,-8.8228967310951726e-05,0.0010044075325928783,0,-0.00019906534546303812,-0.00082775475013405035,-0.00082775475013405035,-0.0010633260928542914,-0.0010633260928542914,1.7029069015174025,0,-9.6576649510771695
1,0.23500000000000001,47,0.00096889084401410744,0,-8.9139585643523072e-05,0.00079878620238352693,0,-0.00016518853469788593,-0.00083084928168654761,-0.00083084928168654761,-0.0010688519753547542,-0.0010688519753547542,1.7029069015174025,0,-9.6576649510771695
1,0.23999999999999999,48,0.00097238746273524055,0,-8.9881068690572709e-05,0.00060124269389142163,0,-0.0001314407896347982,-0.0008331976397610197,-0.0008331976397610197,-0.0010731800931648488,-0.0010731800931648488,1.7029069015174025,0,-9.6576649510771695
1,0.245,49,0.00097491742801476811,0,-9.0454499260782237e-05,0.00041218830519611173,0,-9.7995851891765083e-05,-0.00083483959045952078,-0.00083483959045952078,-0.0010763531034858093,-0.0010763531034858093,1.7029069015174025,0,-9.6576649510771695
1,0.25,50,0.00097652408724533367,0,-9.0861809440540917e-05,0.00023197382881739363,0,-6.5019564164757373e-05,-0.00083581548914571206,-0.00083581548914571206,-0.0010784165203519562,-0.0010784165203519562,1.7029069015174025,0,-9.6576649510771695
1,0.255,51,0.00097725239451705212,0,-9.1105739277057637e-05,6.0891485464378587e-05,0,-3.2669157108903017e-05,-0.00083616604667260063,-0.00083616604667260063,-0.0010794183705423446,-0.0010794183705423446,1.7029069015174025,0,-9.6576649510771695
1,0.26000000000000001,52,0.0009771480776511552,0,-9.1190316347512868e-05,-0.00010126406650986261,0,-1.334498791216993e-06,-0.00083593075375539678,-0.00083593075375539678,-0.0010794088984032561,-0.0010794088984032561,1.7029069015174025,0,-9.6576649510771695
1,0.26500000000000001,53,0.00097625242532842834,0,-9.1120214768598598e-05,-0.00025570054548853806,0,2.9251612372881043e-05,-0.00083514366073777655,-0.00083514366073777655,-0.0010784346341699347,-0.0010784346341699347,1.7029069015174025,0,-9.6576649510771695
1,0.27000000000000002,54,0.00097460432750038858,0,-9.0899139930575128e-05,-0.00040218811839560348,0,5.9034416304429817e-05,-0.00083383791940389994,-0.00083383791940389994,-0.0010765386230185356,-0.0010765386230185356,1.7029069015174025,0,-9.6576649510771695
1,0.27500000000000002,55,0.00097224429854905997,0,-9.0531408803379553e-05,-0.00054042725266883714,0,8.7894863573419624e-05,-0.00083204735887614639,-0.00083204735887614639,-0.0010737662203811698,-0.0010737662203811698,1.7029069015174025,0,-9.6576649510771695
1,0.28000000000000003,56,0.00096921422519675711,0,-9.0021916314267502e-05,-0.00067016836970113511,0,0.00011572090175993092,-0.00082980628559248249,-0.00082980628559248249,-0.0010701648021515767,-0.0010701648021515767,1.7029069015174025,0,-9.6576649510771695
1,0.28500000000000003,57,0.0009655571195091642,0,-8.9376099193546748e-05,-0.00079121070736417991,0,0.00014240793366111031,-0.00082714929229803767,-0.00082714929229803767,-0.0010657834771448074,-0.0010657834771448074,1.7029069015174025,0,-9.6576649510771695
1,0.28999999999999998,58,0.00096131687799998016,0,-8.8599897672202071e-05,-0.00090340101903715561,0,0.00016785921821391189,-0.00082411107646480799,-0.00082411107646480799,-0.0010606728032495876,-0.0010606728032495876,1.7029069015174025,0,-9.6576649510771695
1,0.29499999999999998,59,0.0009565380476218271,0,-8.7699715319212136e-05,-0.0010066321222652371,0,0.00019198621364607663,-0.00082072626847849522,-0.00082072626847849522,-0.0010548845083807915,-0.0010548845083807915,1.7029069015174025,0,-9.6576649510771695
