schema_version,lap_number,s_m,time_s,speed_m_s,throttle,brake,steering_angle_rad,lateral_accel_m_s2,maximum_tire_utilization,lateral_error_m
1,0,1,0.050661939954883814,20.086272567193426,0,0,0,0,0,0
1,0,2,0.10110727086976458,20.172176269357703,0,0,0,0,0,0
1,0,3,0.15133872377089955,20.257715757176285,0,0,0,0,0,0
1,0,4,0.20135898396598767,20.342895603478194,0,0,0,0,0,0
1,0,5,0.25117069199686787,20.427720304860344,0,0,0,0,0,0
1,0,6,0.30077644456849317,20.512194283269526,0,0,0,0,0,0
1,0,7,0.35017879545486696,20.596321887545113,0,0,0,0,0,0
1,0,8,0.39938000117863204,20.680106960335085,0,0,0,0,0,0
1,0,9,0.44838263488187041,20.763553883460855,0,0,0,0,0,0
1,0,10,0.49718920264785738,20.846666924548924,0,0,0,0,0,0
1,0,11,0.54580209705678218,20.929450157940614,0,0,0,0,0,0
1,0,12,0.59422335728695053,21.011907056166734,0,0,0,0,0,0
1,0,13,0.64245521627684432,21.094041421713634,0,0,0,0,0,0
1,0,14,0.69050028079256609,21.1758576936613,0,0,0,0,0,0
1,0,15,0.73836013805809175,21.257358574904398,0,0,0,0,0,0
1,0,16,0.78603738563461345,21.338548488847806,0,0,0,0,0,0
1,0,17,0.83353381669648907,21.419430489100517,0,0,0,0,0,0
1,0,18,0.88085167739134806,21.500008400642827,0,0,0,0,0,0
1,0,19,0.92799269807813478,21.580285170114923,0,0,0,0,0,0
1,0,20,0.97495933248140432,21.660264975981292,0,0,0,0,0,0
1,0,21,1.0217527385946195,21.739949790196988,0,0,0,0,0,0
1,0,22,1.0683754774543337,21.819343973968834,0,0,0,0,0,0
1,0,23,1.1148293568846108,21.898450605852908,0,0,0,0,0,0
1,0,24,1.1611157113531088,21.977271958323389,0,0,0,0,0,0
1,0,25,1.2072367164749975,22.055811736250369,0,0,0,0,0,0
1,0,26,1.2531941553661952,22.134072976114251,0,0,0,0,0,0
1,0,27,1.2989897211130732,22.212058561083499,0,0,0,0,0,0
1,0,28,1.3446250835153313,22.289771334671546,0,0,0,0,0,0
1,0,29,1.3901018507057583,22.367214035378819,0,0,0,0,0,0
1,0,30,1.4354216034616198,22.444389355121835,0,0,0,0,0,0
1,0,31,1.4805860860420903,22.521300264211575,0,0,0,0,0,0
1,0,32,1.5255968778081563,22.597949452152768,0,0,0,0,0,0
1,0,33,1.5704555367734772,22.674339572097626,0,0,0,0,0,0
1,0,34,1.6151635999638467,22.750473241457978,0,0,0,0,0,0
1,0,35,1.6597224802722934,22.826352866259114,0,0,0,0,0,0
1,0,36,1.7041336622820313,22.901980974608037,0,0,0,0,0,0
1,0,37,1.748398684466268,22.977360186381393,0,0,0,0,0,0
1,0,38,1.7925190044150743,23.052492983719365,0,0,0,0,0,0
1,0,39,1.8364960604014957,23.127381815867057,0,0,0,0,0,0
1,0,40,1.8803312717005001,23.202029099717599,0,0,0,0,0,0
1,0,41,1.9240256825862987,23.276436613572759,0,0,0,0,0,0
1,0,42,1.9675808624206805,23.350607029909558,0,0,0,0,0,0
1,0,43,2.0109982978916734,23.424542880419292,0,0,0,0,0,0
1,0,44,2.0542790751267095,23.498246014675868,0,0,0,0,0,0
1,0,45,2.0974243773767451,23.571718447645505,0,0,0,0,0,0
1,0,46,2.1404358810589907,23.644963034110638,0,0,0,0,0,0
1,0,47,2.1833142776829089,23.717980951647505,0,0,0,0,0,0
1,0,48,2.2260612529710948,23.790775070884745,0,0,0,0,0,0
1,0,49,2.2686777564812988,23.863347008830811,0,0,0,0,0,0
1,0,50,2.3111650876460961,23.935698978298394,0,0,0,0,0,0
1,0,51,2.3535243361036722,24.007832834839888,0,0,0,0,0,0
1,0,52,2.3957567890464007,24.079750770424063,0,0,0,0,0,0
1,0,53,2.4378633105948979,24.151454256567888,0,0,0,0,0,0
1,0,54,2.479845482094396,24.222945986155068,0,0,0,0,0,0
1,0,55,2.5217037525133406,24.294226723737065,0,0,0,0,0,0
1,0,56,2.5634397457846281,24.365299234720421,0,0,0,0,0,0
1,0,57,2.6050545194895949,24.43616532006769,0,0,0,0,0,0
1,0,58,2.6465486033466181,24.506825881839951,0,0,0,0,0,0
1,0,59,2.6879235414149067,24.577283549426291,0,0,0,0,0,0
1,0,60,2.7291803216279105,24.647540005185398,0,0,0,0,0,0
1,0,61,2.7703198108393772,24.717596725288502,0,0,0,0,0,0
1,0,62,2.8113428445191531,24.78745513246297,0,0,0,0,0,0
1,0,63,2.8522506607917197,24.857117335119526,0,0,0,0,0,0
1,0,64,2.8930442042476652,24.926584941808002,0,0,0,0,0,0
1,0,65,2.9337244091802934,24.995859543542913,0,0,0,0,0,0
1,0,66,2.9742921997255629,25.064942714041759,0,0,0,0,0,0
1,0,67,3.0147484899997448,25.133836009959452,0,0,0,0,0,0
1,0,68,3.0550941524204176,25.202540916941903,0,0,0,0,0,0
1,0,69,3.0953300656821958,25.271058931324237,0,0,0,0,0,0
1,0,70,3.1354571992333784,25.339391703986653,0,0,0,0,0,0
1,0,71,3.1754764278533143,25.407540724596942,0,0,0,0,0,0
1,0,72,3.2153886169667514,25.475507466892878,0,0,0,0,0,0
1,0,73,3.2551946227685478,25.543293388894593,0,0,0,0,0,0
1,0,74,3.2948952575300052,25.610899873824497,0,0,0,0,0,0
1,0,75,3.3344912951565924,25.678328239571552,0,0,0,0,0,0
1,0,76,3.3739836303139019,25.745580009667968,0,0,0,0,0,0
1,0,77,3.4133730840216021,25.812656582233807,0,0,0,0,0,0
1,0,78,3.452660468655413,25.879559340669289,0,0,0,0,0,0
1,0,79,3.4918465880605662,25.946289653848005,0,0,0,0,0,0
1,0,80,3.53093223766348,26.012848876307096,0,0,0,0,0,0
1,0,81,3.5699181778723221,26.079238302950873,0,0,0,0,0,0
1,0,82,3.6088048786222613,26.145458734035184,0,0,0,0,0,0
1,0,83,3.6475934164329646,26.211512002772796,0,0,0,0,0,0
1,0,84,3.6862845546182355,26.277399409016052,0,0,0,0,0,0
1,0,85,3.7248790094987982,26.343122172592462,0,0,0,0,0,0
1,0,86,3.763377122902043,26.408680875602244,0,0,0,0,0,0
1,0,87,3.8017800515532407,26.474077487840844,0,0,0,0,0,0
1,0,88,3.8400885282476636,26.539313257190393,0,0,0,0,0,0
1,0,89,3.8783027352268493,26.604388493991259,0,0,0,0,0,0
1,0,90,3.9164238782468481,26.669305251533743,0,0,0,0,0,0
1,0,91,3.9544525223859051,26.734064492093491,0,0,0,0,0,0
1,0,92,3.9923890651352298,26.79866689256102,0,0,0,0,0,0
1,0,93,4.0302346582610671,26.863114414287026,0,0,0,0,0,0
1,0,94,4.0679893561813847,26.927407149940233,0,0,0,0,0,0
1,0,95,4.1056543784726465,26.991547176345829,0,0,0,0,0,0
1,0,96,4.143229919190909,27.055534823963203,0,0,0,0,0,0
1,0,97,4.1807169746800996,27.119371789473309,0,0,0,0,0,0
1,0,98,4.2181158248431192,27.183058549524727,0,0,0,0,0,0
1,0,99,4.2554274682733793,27.246596804629068,0,0,0,0,0,0
1,0,100,4.2926520489621787,27.309986799990114,0,0,0,0,0,0
1,0,101,4.3297907218573322,27.373230502376462,0,0,0,0,0,0
1,0,102,4.3668434747247922,27.436327890954676,0,0,0,0,0,0
1,0,103,4.4038113989159839,27.499280824194624,0,0,0,0,0,0
1,0,104,4.4406948948065308,27.562089983898723,0,0,0,0,0,0
1,0,105,4.4774943827225249,27.62475608584317,0,0,0,0,0,0
1,0,106,4.5142107708100454,27.687280676516199,0,0,0,0,0,0
1,0,107,4.5508443355097006,27.749664226670422,0,0,0,0,0,0
1,0,108,4.5873956515235115,27.81190771496988,0,0,0,0,0,0
1,0,109,4.6238654876034309,27.87401245052758,0,0,0,0,0,0
1,0,110,4.6602542878354951,27.935979189580696,0,0,0,0,0,0
1,0,111,4.6965623266867151,27.997808399520999,0,0,0,0,0,0
1,0,112,4.7327904630756512,28.059501543006828,0,0,0,0,0,0
1,0,113,4.7689392050991977,28.121059485279893,0,0,0,0,0,0
1,0,114,4.8050090538196315,28.182483079602608,0,0,0,0,0,0
1,0,115,4.8410002153943381,28.2437726770418,0,0,0,0,0,0
1,0,116,4.8769135059720465,28.304929667422776,0,0,0,0,0,0
1,0,117,4.9127494164211134,28.365954886648648,0,0,0,0,0,0
1,0,118,4.9485084334928855,28.426849163611642,0,0,0,0,0,0
1,0,119,4.9841910398647791,28.487613320266465,0,0,0,0,0,0
1,0,120,5.0197977141828085,28.548248171702717,0,0,0,0,0,0
1,0,121,5.0553288332197956,28.608754359529435,0,0,0,0,0,0
1,0,122,5.090784928172063,28.669132788324507,0,0,0,0,0,0
1,0,123,5.1261665258824891,28.7293843552523,0,0,0,0,0,0
1,0,124,5.1614740890087516,28.789509848175769,0,0,0,0,0,0
