schema_version,time_s,step,fz_fl_n,fx_fl_n,fy_fl_n,slip_angle_fl_rad,force_capacity_fl_n,tire_saturated_fl,fz_fr_n,fx_fr_n,fy_fr_n,slip_angle_fr_rad,force_capacity_fr_n,tire_saturated_fr,fz_rl_n,fx_rl_n,fy_rl_n,slip_angle_rl_rad,force_capacity_rl_n,tire_saturated_rl,fz_rr_n,fx_rr_n,fy_rr_n,slip_angle_rr_rad,force_capacity_rr_n,tire_saturated_rr
1,0,0,3068.5007849999997,0,0,-0,3889.5031398121569,0,3068.5007849999997,0,0,-0,3889.5031398121569,0,4237.4534649999996,0,0,-0,5234.2990724572801,0,4237.4534649999996,0,0,-0,5234.2990724572801,0
1,0.0050000000000000001,1,3065.1542474007724,0,0,-0,3885.6003930088186,0,3065.1542474007724,0,0,-0,3885.6003930088186,0,4234.0498053765396,0,0,-0,5230.4309385602392,0,4234.0498053765396,0,0,-0,5230.4309385602392,0
1,0.01,2,3061.8295541566813,0,0,-0,3881.7227836227867,0,3061.8295541566813,0,0,-0,3881.7227836227867,0,4230.5564069014108,0,0,-0,5226.4605610655171,0,4230.5564069014108,0,0,-0,5226.4605610655171,0
1,0.014999999999999999,3,3058.5416302899343,0,0,-0,3877.8877272924892,0,3058.5416302899343,0,0,-0,3877.8877272924892,0,4226.9926978046842,0,0,-0,5222.4100026638462,0,4226.9926978046842,0,0,-0,5222.4100026638462,0
1,0.02,4,3055.3041330917736,0,0,-0,3874.1111666875031,0,3055.3041330917736,0,0,-0,3874.1111666875031,0,4223.3774578959938,0,0,-0,5218.3005945052109,0,4223.3774578959938,0,0,-0,5218.3005945052109,0
1,0.025000000000000001,5,3052.1294770802328,0,0,-0,3870.4075998261051,0,3052.1294770802328,0,0,-0,3870.4075998261051,0,4219.7287681379394,0,0,-0,5214.1528788842206,0,4219.7287681379394,0,0,-0,5214.1528788842206,0
1,0.029999999999999999,6,3049.0288633904829,0,0,-0,3866.7901135524216,0,3049.0288633904829,0,0,-0,3866.7901135524216,0,4216.0639657337861,0,0,-0,5209.9865580870346,0,4216.0639657337861,0,0,-0,5209.9865580870346,0
1,0.035000000000000003,7,3046.012313109843,0,0,-0,3863.2704216221423,0,3046.012313109843,0,0,-0,3863.2704216221423,0,4212.3996046673228,0,0,-0,5205.820449340591,0,4212.3996046673228,0,0,-0,5205.820449340591,0
1,0.040000000000000001,8,3043.0887040866314,0,0,-0,3859.8589068630113,0,3043.0887040866314,0,0,-0,3859.8589068630113,0,4208.7514216106802,0,0,-0,5201.6724457803421,0,4208.7514216106802,0,0,-0,5201.6724457803421,0
1,0.044999999999999998,9,3040.2658107603161,0,0,-0,3856.5646668951354,0,3040.2658107603161,0,0,-0,3856.5646668951354,0,4205.1343070951962,0,0,-0,5197.5594833295681,0,4205.1343070951962,0,0,-0,5197.5594833295681,0
1,0.050000000000000003,10,3037.5503465796246,0,0,-0,3853.3955629160496,0,3037.5503465796246,0,0,-0,3853.3955629160496,0,4201.5622818213778,0,0,-0,5193.4975133617882,0,4201.5622818213778,0,0,-0,5193.4975133617882,0
1,0.055,11,3034.948008595281,0,0,-0,3850.3582710765213,0,3034.948008595281,0,0,-0,3850.3582710765213,0,4198.0484779663238,0,0,-0,5189.5014809976037,0,4198.0484779663238,0,0,-0,5189.5014809976037,0
1,0.059999999999999998,12,3032.463523834655,0,0,-0,3847.4583359949238,0,3032.463523834655,0,0,-0,3847.4583359949238,0,4194.6051253309306,0,0,-0,5185.5853088687491,0,4194.6051253309306,0,0,-0,5185.5853088687491,0
1,0.065000000000000002,13,3030.1006970866583,0,0,-0,3844.7002259806159,0,3030.1006970866583,0,0,-0,3844.7002259806159,0,4191.2435421546124,0,0,-0,5181.761886165109,0,4191.2435421546124,0,0,-0,5181.761886165109,0
1,0.070000000000000007,14,3027.8624597466028,0,0,-0,3842.0873895599034,0,3027.8624597466028,0,0,-0,3842.0873895599034,0,4187.9741304122681,0,0,-0,5178.0430627649876,0,4187.9741304122681,0,0,-0,5178.0430627649876,0
1,0.074999999999999997,15,3025.7509193922688,0,0,-0,3839.622312921661,0,3025.7509193922688,0,0,-0,3839.622312921661,0,4184.8063753966499,0,0,-0,5174.4396482350712,0,4184.8063753966499,0,0,-0,5174.4396482350712,0
1,0.080000000000000002,16,3023.7674097840077,0,0,-0,3837.306577923534,0,3023.7674097840077,0,0,-0,3837.306577923534,0,4181.7488493792962,0,0,-0,5170.961415474223,0,4181.7488493792962,0,0,-0,5170.961415474223,0
1,0.085000000000000006,17,3021.9125410032002,0,0,-0,3835.1409203234612,0,3021.9125410032002,0,0,-0,3835.1409203234612,0,4178.8092191345877,0,0,-0,5167.6171087645971,0,4178.8092191345877,0,0,-0,5167.6171087645971,0
1,0.089999999999999997,18,3020.1862494647003,0,0,-0,3833.1252879252024,0,3020.1862494647003,0,0,-0,3833.1252879252024,0,4175.9942571043384,0,0,-0,5164.4144559843471,0,4175.9942571043384,0,0,-0,5164.4144559843471,0
1,0.095000000000000001,19,3018.5878475599343,0,0,-0,3831.2588983502715,0,3018.5878475599343,0,0,-0,3831.2588983502715,0,4173.3098559745913,0,0,-0,5161.3601847287127,0,4173.3098559745913,0,0,-0,5161.3601847287127,0
1,0.10000000000000001,20,3017.116072707955,0,0,-0,3829.5402961721115,0,3017.116072707955,0,0,-0,3829.5402961721115,0,4170.7610464318795,0,0,-0,5158.4600420801244,0,4170.7610464318795,0,0,-0,5158.4600420801244,0
1,0.105,21,3015.7691356119753,0,0,-0,3827.9674091715565,0,3015.7691356119753,0,0,-0,3827.9674091715565,0,4168.3520178631015,0,0,-0,5155.7188177634216,0,4168.3520178631015,0,0,-0,5155.7188177634216,0
1,0.11,22,3014.5447675385567,0,0,-0,3826.5376034951723,0,3014.5447675385567,0,0,-0,3826.5376034951723,0,4166.0861417613423,0,0,-0,5153.1403704191662,0,4166.0861417613423,0,0,-0,5153.1403704191662,0
1,0.115,23,3013.4402664557301,0,0,-0,3825.2477375202816,0,3013.4402664557301,0,0,-0,3825.2477375202816,0,4163.9659975992736,0,0,-0,5150.7276567262206,0,4163.9659975992736,0,0,-0,5150.7276567262206,0
1,0.12,24,3012.4525418847702,0,0,-0,3824.0942142518984,0,3012.4525418847702,0,0,-0,3824.0942142518984,0,4161.9934009323315,0,0,-0,5148.4827631045191,0,4161.9934009323315,0,0,-0,5148.4827631045191,0
1,0.125,25,3011.5781583380835,0,0,-0,3823.0730320975872,0,3011.5781583380835,0,0,-0,3823.0730320975872,0,4160.1694334953563,0,0,-0,5146.4069397296844,0,4160.1694334953563,0,0,-0,5146.4069397296844,0
