schema_version,time_s,step,heave_m,roll_rad,pitch_rad,heave_rate_m_s,roll_rate_rad_s,pitch_rate_rad_s,compression_fl_m,compression_fr_m,compression_rl_m,compression_rr_m,gravity_x_m_s2,gravity_y_m_s2,gravity_z_m_s2
1,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,-9.8066499999999994
1,0.0050000000000000001,1,-1.1832444047682877e-20,0,1.5398387542427243e-21,-4.7329776190731506e-18,0,6.1593550169708973e-19,9.4478497528625936e-21,9.4478497528625936e-21,1.3559219226690667e-20,1.3559219226690667e-20,0,0,-9.8066499999999994
1,0.01,2,-4.7329776190731496e-20,0,6.1593550169708971e-21,-9.4659552381463012e-18,0,1.2318710033941795e-18,3.7791399011450362e-20,3.7791399011450362e-20,5.4236876906762655e-20,5.4236876906762655e-20,0,0,-9.8066499999999994
1,0.014999999999999999,3,-1.0649199642914587e-19,0,1.385854878818452e-20,-1.4198932857219452e-17,0,1.8478065050912692e-18,8.503064777576332e-20,8.503064777576332e-20,1.2203297304021598e-19,1.2203297304021598e-19,0,0,-9.8066499999999994
1,0.02,4,-1.8931910476292601e-19,0,2.4637420067883588e-20,-1.8931910476292602e-17,0,2.4637420067883589e-18,1.5116559604580147e-19,1.5116559604580147e-19,2.1694750762705067e-19,2.1694750762705067e-19,0,0,-9.8066499999999994
1,0.025000000000000001,5,-2.9581110119207191e-19,0,3.8495968856068108e-20,-2.3664888095365753e-17,0,3.0796775084854487e-18,2.3619624382156483e-19,2.3619624382156483e-19,3.389804806672667e-19,3.389804806672667e-19,0,0,-9.8066499999999994
1,0.029999999999999999,6,-4.2596798571658353e-19,0,5.543419515273808e-20,-2.8397865714438904e-17,0,3.6956130101825384e-18,3.4012259110305333e-19,3.4012259110305333e-19,4.8813189216086402e-19,4.8813189216086402e-19,0,0,-9.8066499999999994
1,0.035000000000000003,7,-5.7978975833646093e-19,0,7.5452098957893503e-20,-3.3130843333512051e-17,0,4.3115485118796281e-18,4.6294463789026706e-19,4.6294463789026706e-19,6.6440174210784273e-19,6.6440174210784273e-19,0,0,-9.8066499999999994
1,0.040000000000000001,8,-7.5727641905170403e-19,0,9.8549680271534365e-20,-3.7863820952585205e-17,0,4.9274840135767178e-18,6.0466238418320589e-19,6.0466238418320589e-19,8.6779003050820268e-19,8.6779003050820268e-19,0,0,-9.8066499999999994
1,0.044999999999999998,9,-9.584279678623129e-19,0,1.2472693909366068e-19,-4.2596798571658359e-17,0,5.5434195152738076e-18,7.6527582998187001e-19,7.6527582998187001e-19,1.0982967573619441e-18,1.0982967573619441e-18,0,0,-9.8066499999999994
1,0.050000000000000003,10,-1.1832444047682877e-18,0,1.5398387542427243e-19,-4.7329776190731512e-17,0,6.1593550169708973e-18,9.4478497528625932e-19,9.4478497528625932e-19,1.3559219226690668e-18,1.3559219226690668e-18,0,0,-9.8066499999999994
1,0.055,11,-1.4317257297696282e-18,0,1.8632048926336964e-19,-5.2062753809804666e-17,0,6.775290518667987e-18,1.1431898200963739e-18,1.1431898200963739e-18,1.6406655264295709e-18,1.6406655264295709e-18,0,0,-9.8066499999999994
