s_m,x_m,y_m,heading_rad,curvature_1_m,left_width_m,right_width_m,left_x_m,left_y_m,right_x_m,right_y_m,elevation_m,grade
0,0,-0,-0,-0.014285714285714285,6,6,0,6,0,-6,0,0
0.5,0.49999574831016586,-0.0017857066934012789,-0.0071428571428571426,-0.014285714285714285,6,6,0.54285252673675155,5.9980612327328782,0.45713896988358022,-6.0016326461196812,0,0
1,0.99996598674163373,-0.0071427356665210162,-0.014285714285714285,-0.014285714285714285,6,6,1.0856773570337737,5.9922450298477772,0.91425461644949368,-6.0065305011808192,0,0
1.5,1.4998852067172246,-0.016070813602707679,-0.021428571428571429,-0.014285714285714285,6,6,1.6284467958644153,5.9825516880884884,1.3713236175700338,-6.0146933152939042,0,0
2,1.9997279022627301,-0.028569484989715566,-0.028571428571428571,-0.014285714285714285,6,6,2.1711331510281071,5.968981702011166,1.8283226534973533,-6.0261206719905971,0,0
2.5,2.4994685713082339,-0.044638112142949549,-0.035714285714285712,-0.014285714285714285,6,6,2.7137087345632254,5.9515357639590833,2.2852284080532423,-6.0408119882449824,0,0
3,2.9990817169892314,-0.064275875237973512,-0.042857142857142858,-0.014285714285714285,6,6,3.2561458641597372,5.930214764027343,2.7420175698187257,-6.0587665145032901,0,0
3.5,3.4985418489474829,-0.08748177235236021,-0.049999999999999996,-0.014285714285714285,6,6,3.798416864571553,5.9050197900174375,3.1986668333234127,-6.0799833347221579,0,0
4,3.9978234846315397,-0.11425461951680482,-0.057142857142857141,-0.014285714285714285,6,6,4.3404940690285292,5.8759521273817548,3.6551529002345506,-6.1044613664153644,0,0
4.5,4.4969011505968659,-0.14459305077551776,-0.064285714285714279,-0.014285714285714285,6,6,4.8823498206480256,5.8430132591580097,4.1114524805457062,-6.1321993607090448,0,0
5,4.9957493838055012,-0.17849551825593557,-0.071428571428571425,-0.014285714285714285,6,6,5.4239564738459727,5.8062048658935552,4.5675422937650296,-6.1631959024054268,0,0
5.5,5.4943427329251868,-0.21596029224767999,-0.07857142857142857,-0.014285714285714285,6,6,5.9652863957473459,5.7655288255596613,5.0233990701030278,-6.1974494100550217,0,0
6,5.9926557596279002,-0.25698546129082733,-0.085714285714285715,-0.014285714285714285,6,6,6.5063119675960062,5.7209872134556736,5.4789995516597942,-6.2349581360373278,0,0
6.5,6.4906630398877212,-0.30156893227341053,-0.09285714285714286,-0.014285714285714285,6,6,7.0470055861638112,5.6725823021031543,5.9343204936116312,-6.2757201666499753,0,0
7,6.9883391652779698,-0.34970843053819256,-0.099999999999999992,-0.014285714285714285,6,6,7.5873396651589387,5.6203165611299628,6.389338665397001,-6.3197334222063475,0,0
7.5,7.4856587442675568,-0.40140149999878916,-0.10714285714285714,-0.014285714285714285,6,6,8.1272866366333467,5.5641926571441722,6.8440308519017661,-6.3669956571417501,0,0
8,7.9825964035164532,-0.45664550326489972,-0.11428571428571428,-0.014285714285714285,6,6,8.666818952389292,5.5042134535981084,7.2983738546436143,-6.4175044601279083,0,0
8.5,8.47912678917025,-0.51543762177691077,-0.12142857142857143,-0.014285714285714285,6,6,9.2059090853848424,5.4403820106422112,7.7523444929556575,-6.4712572541960327,0,0
9,8.9752245681537115,-0.57777485594970091,-0.12857142857142856,-0.014285714285714285,6,6,9.7445295311383155,5.3727015849688957,8.2059196051691075,-6.528251296868298,0,0
9.5,9.4708644294632851,-0.64365402532564731,-0.1357142857142857,-0.014285714285714285,6,6,10.282652809131566,5.3011756296464405,8.6590760497950043,-6.5884836802977347,0,0
10,9.9660210854584559,-0.71307176873694256,-0.14285714285714285,-0.014285714285714285,6,6,10.820251464212038,5.2258077939427476,9.1117907067048733,-6.6519513314166332,0,0
10.5,10.460669273151945,-0.78602454447704306,-0.14999999999999999,-0.014285714285714285,6,6,11.35729806799354,5.1466019231392099,9.5640404783103499,-6.7186510120932965,0,0
11,10.954783755498617,-0.86250863048136561,-0.15714285714285714,-0.014285714285714285,6,6,11.893765220255641,5.0635620583345169,10.015802290741593,-6.7885793192972486,0,0
11.5,11.448339322683092,-0.94252012451722433,-0.16428571428571428,-0.014285714285714285,6,6,12.429625550341642,4.9766924362384426,10.467053095024541,-6.8617326852728908,0,0
12,11.94131079340594,-1.0260549443828992,-0.17142857142857143,-0.014285714285714285,6,6,12.964851718555019,4.8859974889557094,10.91776986825686,-6.9381073777215079,0,0
12.5,12.43367301616845,-1.1131088281158907,-0.17857142857142858,-0.014285714285714285,6,6,13.499416417554318,4.7914818437598896,11.367929614782582,-7.0176994999916715,0,0
13,12.92540087055586,-1.2036773342104146,-0.18571428571428572,-0.014285714285714285,6,6,14.033292373746363,4.6931503228572637,11.817509367365357,-7.1005049912780933,0,0
13.5,13.416469268518993,-1.2977558418439661,-0.19285714285714284,-0.014285714285714285,6,6,14.566452348677764,4.5910079431408368,12.266486188360222,-7.186519626828769,0,0
14,13.906853155654284,-1.3953395511130862,-0.19999999999999998,-0.014285714285714285,6,6,15.098869140424652,4.4850599159343636,12.714837170883916,-7.2757390181605359,0,0
14.5,14.396527512482024,-1.4964234832782741,-0.20714285714285713,-0.014285714285714285,6,6,15.630515584980483,4.3753116467264448,13.162539439983565,-7.3681586132829935,0,0
15,14.885467355722884,-1.6010024810179779,-0.21428571428571427,-0.014285714285714285,6,6,16.161364557641988,4.2617687348947673,13.60957015380378,-7.4637736969307227,0,0
15.5,15.373647739572558,-1.7090712086917392,-0.22142857142857142,-0.014285714285714285,6,6,16.691388974393064,4.1444369734203974,14.055906504752054,-7.5625793908038759,0,0
16,15.861043756974496,-1.8206241526123923,-0.22857142857142856,-0.014285714285714285,6,6,17.220561793286596,4.0233223485922593,14.501525720662396,-7.6645706538170444,0,0
16.5,16.347630540890687,-1.9356556213274179,-0.23571428571428571,-0.014285714285714285,6,6,17.748856015824174,3.8984310397016606,14.946405065957199,-7.7697422823564963,0,0
17,16.833383265570362,-2.0541597459092733,-0.24285714285714285,-0.014285714285714285,6,6,18.276244688333534,3.7697694187270745,15.390521842807187,-7.8780889105456211,0,0
17.5,17.318277147816605,-2.1761304802548689,-0.25,-0.014285714285714285,6,6,18.802700903343744,3.6373440500089993,15.833853392289468,-7.9896050105187371,0,0
18,17.802287448250819,-2.301561601393999,-0.25714285714285712,-0.014285714285714285,6,6,19.328197800958034,3.5011616899150866,16.276377095543605,-8.1042848927030846,0,0
18.5,18.285389472574909,-2.4304467098068874,-0.26428571428571429,-0.014285714285714285,6,6,19.852708570224188,3.3612292864953792,16.718070374925631,-8.222122706109154,0,0
