schema_version,time_s,step,fz_fl_n,fx_fl_n,fy_fl_n,slip_angle_fl_rad,force_capacity_fl_n,tire_saturated_fl,fz_fr_n,fx_fr_n,fy_fr_n,slip_angle_fr_rad,force_capacity_fr_n,tire_saturated_fr,fz_rl_n,fx_rl_n,fy_rl_n,slip_angle_rl_rad,force_capacity_rl_n,tire_saturated_rl,fz_rr_n,fx_rr_n,fy_rr_n,slip_angle_rr_rad,force_capacity_rr_n,tire_saturated_rr
1,0,0,2196.0995146908272,0,-209.14684397723047,-0.0032994404399185576,2859.1822660481334,0,1960.7487917287253,0,-207.21084447451241,-0.0032773600501029825,2576.0256695247313,0,5359.3035143589359,6000,-242.96955975634293,-0.0032808278868856492,6496.8325257828301,0,5095.7566792215121,6000,-243.95292718452248,-0.0032962965209800089,6202.3172193717355,0
1,0.02,1,2219.5739838379727,0,-304.84223456923439,-0.0048653163252693624,2887.2875782639112,0,1937.9947694855525,0,-301.97437353318691,-0.004842339123489893,2548.5102187895764,0,5384.8267308338754,6000,-236.47966677381481,-0.0031919267821914031,6525.292463929648,0,5069.5130158426009,6000,-237.42201280303479,-0.0032070912156739045,6172.9239969129885,0
1,0.040000000000000001,2,2240.3715945528706,0,-384.83140193676235,-0.0062022076591722597,2912.1680969536042,0,1917.9874852610351,0,-380.4884221550343,-0.0061751118492262506,2524.2949261505082,0,5407.2783232392503,6000,-235.52148636736925,-0.0031786832041357229,6550.3184326254122,0,5046.2710969468444,6000,-236.50666173384013,-0.0031947421626441737,6146.8826007782736,0
1,0.059999999999999998,3,2260.2851120578703,0,-454.90237924583334,-0.0073945569427852284,2935.9736483545198,0,1898.9368349146557,0,-448.57671459323245,-0.0073603794311674076,2501.2186837783534,0,5428.6630179295953,6000,-241.17123733370792,-0.0032557479321746888,6574.1474404961955,0,5024.0235350978801,6000,-242.27143003792793,-0.0032738483939025419,6121.9463421888131,0
1,0.080000000000000002,4,2280.426136880199,0,-518.89589319846414,-0.0085008148183341337,2960.0341119310619,0,1879.7345556875214,0,-510.04418770439094,-0.0084565473566310251,2477.9400211694597,0,5450.2220526414048,6000,-253.86809799566362,-0.0034292590622655773,6598.1631155686837,0,5001.5257547908759,6000,-255.15293674846478,-0.0034506200880294598,6096.7206400879395,0
1,0.10000000000000001,5,2302.6696842560195,0,-579.43897317241317,-0.0095621876495773205,2986.5865066384522,0,1860.8809263265573,0,-567.4475608811066,-0.0095047010429094077,2455.0655062861601,0,5471.537498543179,5992.9660918992568,-273.65819857997565,-0.0037002092731334623,6621.8999746151167,0,4976.8203908742453,5992.9660918992568,-275.19933385531482,-0.0037262099369410784,6069.0092174216943,0
1,0.12000000000000001,6,2366.0589871132538,0,-639.0855555787881,-0.010608052544725752,3062.1432883943367,0,1880.1281702422934,0,-623.61786879391843,-0.010534114841719525,2478.4173851033315,0,5454.9344666993229,5751.103653697779,-300.32992786894675,-0.0040666667214769286,6603.4114935592643,0,4910.7868759451312,5751.103653697779,-302.19447552175524,-0.0040989021587370666,5994.8867938027815,0
1,0.14000000000000001,7,2429.761398352161,0,-698.08031067688228,-0.011651491131642313,3137.9102995975859,0,1896.6789264877009,0,-678.49690004796309,-0.011557695316837131,2498.4824326029616,0,5441.2082043341888,5516.5420877394854,-333.72019125550793,-0.0045268913728162292,6588.1230703224046,0,4844.2599708259513,5516.5420877394854,-335.98148540599988,-0.004567244385115069,5920.1298607105664,0
1,0.16,8,2503.2557170589289,0,-757.43117437157832,-0.012705926869442863,3225.1267405805979,0,1919.693386879404,0,-733.14277464737131,-0.012588826720090915,2526.3604046930909,0,5421.2176049481632,5234.004274281403,-373.41300692597372,-0.0050762821531783898,6565.8518556020517,0,4767.7417911135062,5234.004274281403,-376.13534713774936,-0.0051269071599780499,5834.0439391824511,0
1,0.17999999999999999,9,2580.3969625978325,0,-817.45328789758423,-0.013778565963015254,3316.451015127021,0,1943.097199525826,0,-787.76303894462956,-0.013634681387590986,2554.6826032419772,0,5401.0327896066574,4939.7398570991691,-419.01888081072053,-0.0057105461734423381,6543.3576008156551,0,4687.3815482696864,4939.7398570991691,-422.25406807623415,-0.0057738881234841392,5743.5164385450462,0
1,0.19999999999999998,10,2657.723141662324,0,-878.36759607171552,-0.014874886845139089,3407.7752603167364,0,1963.5678504817402,0,-842.46480422012871,-0.014700759774932733,2579.4328506474722,0,5383.9679171165153,4653.8794802536731,-470.11794345246568,-0.0064250383403953231,6524.3350101481328,0,4606.6495907394219,4653.8794802536731,-473.89639657317622,-0.0065038242220534139,5652.4450750237602,0
1,0.21999999999999997,11,2735.3415638625015,0,-940.40529054228205,-0.015999298194378779,3499.2311058168139,0,1981.3457301977137,0,-897.40605167042452,-0.015791543023699971,2600.9106264552888,0,5369.7746251750787,4375.4004718385422,-526.27809796142935,-0.0072150320100047701,6508.5097597755885,0,4525.4465807647075,4375.4004718385422,-530.59686874305623,-0.0073122565468896781,5560.7134266133144,0
1,0.23999999999999996,12,2813.381565224267,0,-1003.719188598942,-0.017154853239905919,3590.974599577899,0,1996.7280758426346,0,-952.66733640255393,-0.01691018250660031,2619.4818725999462,0,5358.1456189442024,4103.0452845094487,-587.08434581538904,-0.0080760540693973534,6495.5411452552162,0,4443.6532399888974,4103.0452845094487,-591.89513251361757,-0.0081949682221366966,5468.1816773779728,0
1,0.25999999999999995,13,2891.4404999701651,0,-1068.3844728203856,-0.018343588175332656,3682.5368876276953,0,2009.5151618591594,0,-1008.2359510513552,-0.018058829301414062,2634.9111248393797,0,5349.2684685877439,3838.6069030680242,-652.14594666845665,-0.0090039388086082025,6485.6398724635683,0,4361.684369582933,3838.6069030680242,-657.34307676439141,-0.0091480376570363779,5375.3145472007618,0
1,0.27999999999999997,14,2969.4452970716266,0,-1134.4519748521006,-0.019566969748956511,3773.8383161124689,0,2019.841249776071,0,-1064.0779726587491,-0.019239080362175906,2647.365135079187,0,5342.9964928741674,3581.9097047396103,-721.09337527596972,-0.0099947966799083243,6478.6435308479176,0,4279.6254602781364,3581.9097047396103,-726.50004816049181,-0.01016780534462897,5282.2054422582805,0
1,0.29999999999999999,15,3047.813735798597,0,-1201.9655956699041,-0.020825976602544993,3865.3723438284851,0,2028.3228614154289,0,-1120.1701391577949,-0.020452051646547821,2657.5907627466686,0,5338.7012648399641,3329.8915862861268,-793.57976471888298,-0.011045053799115146,6473.851857353251,0,4197.0706379460107,3329.8915862861268,-798.93204416664275,-0.011250915084119201,5188.3893962800757,0
1,0.32000000000000001,16,3125.9773490841435,0,-1270.8963986760862,-0.022120995975292251,3956.4797514402171,0,2034.6230268790243,0,-1176.3783499679498,-0.021698262337613655,2665.1841736473152,0,5336.7058871641239,3085.2413035274444,-869.29324343411349,-0.012151518767142782,6471.6257476265764,0,4114.6022368727099,3085.2413035274444,-874.22823879794487,-0.012394385562509715,5094.5240409597473,0
1,0.34000000000000002,17,3203.8361124021003,0,-1341.2275043351744,-0.023452339542069538,4047.0507984681694,0,2038.8581542854972,0,-1232.5911905327271,-0.022978162038613737,2670.2875951984406,0,5336.8809869088318,2847.9125544633876,-947.94111502967291,-0.013311239509578777,6471.8210973926662,0,4032.3332464035711,2847.9125544633876,-951.98087286186023,-0.013595462693622195,5000.7355652826727,0
1,0.36000000000000004,18,3281.6971372607477,0,-1412.9523705960623,-0.02482012390537076,4137.448539067409,0,2041.5348887888777,0,-1288.72994237283,-0.02429200264824288,2673.5126815969065,0,5338.7079663902614,2615.4953062893323,-1029.2514961912891,-0.014521556734000374,6473.8593337135781,0,3949.9685075601142,2615.4953062893323,-1031.78411560617,-0.014851677246997642,4906.6844490936401,0
1,0.38000000000000006,19,3359.2567816696064,0,-1486.0148534046141,-0.026224082669383312,4227.3259262886604,0,2042.5689782060708,0,-1344.6345929606193,-0.025639639176661577,2674.7585224429258,0,5342.2579358314115,2389.1402179706483,-1112.9858589935857,-0.015780172003071739,6477.8196328106624,0,3867.8248042929122,2389.1402179706483,-1113.2530625715972,-0.016160919482088018,4812.7293299371377,0
1,0.40000000000000008,20,3436.2576224335444,0,-1560.3560493092887,-0.027663908721127298,4316.3916696564074,0,2041.9179670656833,0,-1400.1378402373734,-0.027020884155309923,2673.9742090457639,0,5347.5604736366831,2169.7359254662852,-1198.92670372365,-0.017085025349960588,6483.7346820287603,0,3786.1724368640903,2169.7359254662852,-1196.0087492851219,-0.017521312808994091,4719.1778542222446,0
1,0.4200000000000001,21,3512.9077897828683,0,-1635.9429517056433,-0.029139276136634033,4404.8933405379003,0,2039.9812584822603,0,-1455.1330460231875,-0.028435529968469545,2671.6408180898193,0,5354.2047190005742,1955.4806467809742,-1286.8700646816765,-0.018434285182295812,6491.1457610638727,0,3704.8147327342976,1955.4806467809742,-1279.6631273331391,-0.018931204885480533,4625.8033063872699,0
1,0.44000000000000011,22,3589.1617088569351,0,-1712.7145098138164,-0.030649554899437055,4492.7843212552552,0,2036.9117890772482,0,-1509.47431271655,-0.029883049763095915,2667.9422877917664,0,5362.0258440018242,1746.0535965261422,-1376.6394217193817,-0.019826452246383495,6499.8686045550212,0,3623.8091580639934,1746.0535965261422,-1363.8400828423216,-0.020389280796552441,4532.669770735728,0
1,0.46000000000000013,23,3664.6089871573377,0,-1790.5762239209892,-0.032193950094316075,4579.5986401107357,0,2032.5121720541292,0,-1562.9466337231747,-0.031362743753103675,2662.6402299677234,0,5371.2084758996325,1543.2514091278003,-1468.0856324352294,-0.021260298490330752,6510.108627852117,0,3543.5788648889015,1543.2514091278003,-1448.1827799423718,-0.021894501054720444,4440.2632745393157,0
1,0.48000000000000015,24,3739.3607353484076,0,-1869.4733249007706,-0.033771778057673868,4665.4717189985495,0,2027.0774437128803,0,-1615.4270764018281,-0.032874031404434588,2656.0894728892035,0,5381.4465608203582,1345.8654471062446,-1561.0633501425457,-0.02273474763611269,6521.5239898964483,0,3464.0237601183553,1345.8654471062446,-1532.3104615292998,-0.023445975461790849,4348.4690167789404,0
1,0.50000000000000011,25,3813.6302146919011,0,-1949.3497145688996,-0.035382085763243538,4750.6548660230374,0,2020.9954500857989,0,-1666.8227273355569,-0.034416051826176797,2648.7568673476044,0,5392.3417946975997,1152.1082431106379,-1655.4438658846768,-0.02424902810069144,6533.6701584128241,0,3384.9410405247027,1152.1082431106379,-1615.8328125537319,-0.025043129116820311,4257.0525043413627,0
1,0.52000000000000013,26,3886.850928096128,0,-2030.070340776105,-0.037023510969444326,4834.5052983771375,0,2013.9141418538666,0,-1716.8696686366418,-0.035987517562356658,2640.2172378840642,0,5404.2333809296606,964.69081411899185,-1751.1405480415826,-0.025802728847008714,6546.9248348285573,0,3306.9100491203453,964.69081411899185,-1698.4136891774392,-0.026685766167588824,4166.6841263075139,0
1,0.54000000000000015,27,3959.0317285930096,0,-2111.554927589561,-0.038694938067982167,4917.0412366188848,0,2006.0219781267751,0,-1765.4342832670452,-0.037587412687094229,2630.6969344169411,0,5416.9221015847579,783.01806875362479,-1848.0583929829631,-0.027395497397597949,6561.0654455864233,0,3229.9326916954597,783.01806875362479,-1779.6740319558235,-0.028373744982108321,4077.3686669681424,0
