schema_version,time_s,step,fz_fl_n,fx_fl_n,fy_fl_n,slip_angle_fl_rad,force_capacity_fl_n,tire_saturated_fl,fz_fr_n,fx_fr_n,fy_fr_n,slip_angle_fr_rad,force_capacity_fr_n,tire_saturated_fr,fz_rl_n,fx_rl_n,fy_rl_n,slip_angle_rl_rad,force_capacity_rl_n,tire_saturated_rl,fz_rr_n,fx_rr_n,fy_rr_n,slip_angle_rr_rad,force_capacity_rr_n,tire_saturated_rr
1,0,0,3367.4529927609628,0,-285.79079834757403,-0.0048795358963131773,4058.5026426529093,0,3012.9231390940849,0,-285.14297450114617,-0.0048812606965694984,3663.6790663446732,0,4066.5040095271097,4499.7482531733103,-230.26278118454312,-0.0036003527766944867,4827.6071619312279,0,3772.7623586178433,4499.7482531733103,-230.16501165878884,-0.0036030494482754958,4505.8331809304327,0
1,0.0050000000000000001,1,3360.6305234953579,0,-265.51475710653648,-0.0045255800453129222,4050.9372943765597,0,3020.1214345341987,0,-264.99616140147953,-0.0045273001299659457,3671.7310965447909,0,4060.5077244098679,4499.0300316695584,-230.07495299008173,-0.0035974481308711148,4821.0576875328643,0,3778.3828175605763,4499.0300316695584,-229.98744461355105,-0.0036001332352448598,4512.0083577685737,0
1,0.01,2,3354.1346179083571,0,-246.20695734479472,-0.0041896424576118429,4043.7329264306122,0,3027.0211910518215,0,-245.79674375951632,-0.004191353357262265,3679.4477393557872,0,4054.7563877159446,4498.2525285008232,-229.83927072748261,-0.0035937796155465912,4814.7750323486107,0,3783.7303033238786,4498.2525285008232,-229.76069129995196,-0.003596438350065382,4517.8829378446562,0
1,0.014999999999999999,3,3347.9394600299638,0,-227.91095359705508,-0.0038723115876509616,4036.8610666787381,0,3033.5840660099293,0,-227.5909598643629,-0.0038740085273350306,3686.7863103277618,0,4049.2872681621166,4497.5942613261723,-229.52902375555476,-0.0035889221526603497,4808.8000046951256,0,3788.8317057979921,4497.5942613261723,-229.45811654648361,-0.0035915402697970517,4523.4865595093197,0
1,0.02,4,3342.0496486639845,0,-210.57904450401293,-0.0035725988925787221,4030.3269633319137,0,3039.86322119429,0,-210.33391815295801,-0.0035742767379412037,3693.8064385287626,0,4044.051367302267,4496.8916787580365,-229.11980586902882,-0.003582488503625855,4803.0791641656197,0,3793.6782628394594,4496.8916787580365,-229.05542036844969,-0.0035850523905381964,4528.8096878033266,0
1,0.025000000000000001,5,3336.4427202014217,0,-194.24506077096669,-0.0032909397529257249,4024.1058317629686,0,3045.8273169962172,0,-194.06151754793117,-0.0032925929972032471,3700.4732545323222,0,4039.079263799194,4496.2941060655421,-228.58962010324271,-0.0035741287557622737,4797.6460048910048,0,3798.293199003167,4496.2941060655421,-228.53067035252027,-0.003576625527831796,4533.8779138490017,0
1,0.030000000000000002,6,3331.1215341571024,0,-178.86607103052319,-0.0030264529466106391,4018.200970310761,0,3051.521549861407,0,-178.73292313579162,-0.0030280757272714235,3706.8374364745355,0,4034.3293907829789,4495.6653384261899,-227.91871326814226,-0.0035635297929777444,4792.4551834716403,0,3802.6700251985135,4495.6653384261899,-227.86420639116307,-0.0035659473767980991,4538.6841870551461,0
1,0.035000000000000003,7,3326.0666633553601,0,-164.46703813801787,-0.0027794376959299947,4012.5909370235108,0,3056.9207432053663,0,-164.37467079125616,-0.0027810238443503207,3712.8709888636185,0,4029.826431937126,4495.1289757967625,-227.0896612212525,-0.0035504148486118926,4787.533746717354,0,3806.8286615021484,4495.1289757967625,-227.03866489704106,-0.0035527420787814096,4543.2504519316026,0
1,0.040000000000000001,8,3321.2795555403218,0,-151.00907119514284,-0.0025491056341489524,4007.2774455314607,0,3062.0630082380476,0,-150.94941876058493,-0.002550648742240725,3718.6166334551322,0,4025.5354192371897,4494.572775227085,-226.08720238769453,-0.0035345426004140096,4782.8435437316029,0,3810.7645169844427,4494.572775227085,-226.0388701434704,-0.0035367692929744142,4547.5717315039728,0
1,0.044999999999999998,9,3316.7434946168246,0,-138.50914914049307,-0.0023356363165176397,4002.2420403462138,0,3066.9284840254018,0,-138.47532767450426,-0.0023371298291542278,3724.0523004109,0,4021.4759440079001,4494.097939549074,-224.89830604421996,-0.0035157067787998041,4778.406049826277,0,3814.4945773498744,4494.097939549074,-224.85185207944514,-0.0035178238188006091,4551.666733660677,0
1,0.049999999999999996,10,3312.4588192416813,0,-126.93173406124099,-0.0021383205885173997,3997.4851880578349,0,3071.5490599825989,0,-126.91799423124007,-0.0021397579005129879,3729.2137287884939,0,4017.6188217034755,4493.6129397021077,-223.51200581425067,-0.0034937349293878194,4774.1894199550097,0,3818.015799072245,4493.6129397021077,-223.46672642913288,-0.0034957343247677868,4555.5321708694119,0
1,0.054999999999999993,11,3308.4112153631736,0,-116.28672547161808,-0.001957234393460208,3992.9910807076672,0,3075.9093739600435,0,-116.28819589085063,-0.0019586089661580547,3734.0838610924279,0,4013.9793246193203,4493.1997746343659,-221.91945336427889,-0.0034684880659944396,4770.2104023484026,0,3821.3425860574634,4493.1997746343659,-221.87470754991489,-0.0034703630164707022,4559.1839044539302,0
1,0.059999999999999991,12,3304.6001884721018,0,-106.54129217729557,-0.0017917349209541085,3988.7592458160379,0,3080.0359315030828,0,-106.55392627504369,-0.0017930403917082193,3738.6923969356126,0,4010.5332619443379,4492.7845139387746,-220.11375248225116,-0.0034398591434392136,4766.4425981867435,0,3824.4731180804793,4492.7845139387746,-220.06897918865741,-0.0034416040679422018,4562.6199814509182,0
1,0.064999999999999988,13,3301.0135875726555,0,-97.699171680287577,-0.0016418101083664439,3984.7762610790742,0,3083.9171544635265,0,-97.719569160863117,-0.0016430404148102728,3743.0264925681136,0,4007.2922609373595,4492.4330147483579,-218.09000038969435,-0.0034077727451110435,4762.8987649224746,0,3827.4194970264593,4492.4330147483579,-218.04470347276262,-0.0034093833256529853,4565.8537261928177,0
1,0.069999999999999993,14,3297.6502273405999,0,-89.729633006655163,-0.0015068713493807968,3981.0408745548521,0,3087.5748311440807,0,-89.754989883806203,-0.0015080208360545629,3747.1105584905563,0,4004.2365028413733,4492.0859589920829,-215.84512287747557,-0.0033721833080521163,4759.5572732608334,0,3830.1809386739469,4492.0859589920829,-215.7988841705033,-0.0033736564869056725,4568.8843155701825,0
