front_roll_fraction,steering_rad,lateral_acceleration_m_s2,fz_fl_n,fz_fr_n,fz_rl_n,fz_rr_n,front_max_utilization,rear_max_utilization,total_load_n
0.4,-0.06,-3.7803001199841937,4650.373288235696,3280.0147529895953,4185.405863751482,2103.848595023227,0.6618040444229928,0.0,14219.6425
0.4,-0.04,-2.7710972350434293,4452.413150487053,3447.890622482992,3922.5978657965434,2396.740861233412,0.4744132075508193,0.0,14219.6425
0.4,-0.02,-1.5173121719827383,4214.735884704,3664.7104813926812,3587.838879593168,2752.3572543101527,0.24938445774811396,0.0,14219.642500000002
0.4,0.0,0.0,3935.7939062500004,3935.7939062500004,3174.02734375,3174.02734375,0.0,0.0,14219.642500000002
0.4,0.02,1.5173121719827383,3664.7104813926812,4214.735884704,2752.3572543101527,3587.838879593168,0.24938445774811396,0.0,14219.642500000002
0.4,0.04,2.7710972350434293,3447.890622482992,4452.413150487053,2396.740861233412,3922.5978657965434,0.4744132075508193,0.0,14219.6425
0.4,0.06,3.7803001199841937,3280.0147529895953,4650.373288235696,2103.848595023227,4185.405863751482,0.6618040444229928,0.0,14219.6425
0.65,-0.06,-3.737349768936025,5065.626025800838,2864.093946546588,3745.1842260377675,2544.7383016148074,0.7171552434127066,0.0,14219.642500000002
0.65,-0.04,-2.7596992483080824,4762.910350048531,3137.275310368439,3602.939530901959,2716.517308681072,0.5078899970098191,0.0,14219.642500000002
0.65,-0.02,-1.5163860481817115,4386.343657588321,3493.097911958899,3413.633872019222,2926.567058433559,0.2595314786749124,0.0,14219.642500000002
0.65,0.0,0.0,3935.7939062500004,3935.7939062500004,3174.02734375,3174.02734375,0.0,0.0,14219.642500000002
0.65,0.02,1.5163860481817115,3493.097911958899,4386.343657588321,2926.567058433559,3413.633872019222,0.2595314786749124,0.0,14219.642500000002
0.65,0.04,2.7596992483080824,3137.275310368439,4762.910350048531,2716.517308681072,3602.939530901959,0.5078899970098191,0.0,14219.642500000002
0.65,0.06,3.737349768936025,2864.093946546588,5065.626025800838,2544.7383016148074,3745.1842260377675,0.7171552434127066,0.0,14219.642500000002
