exponent,steering_rad,lateral_acceleration_m_s2,front_total_capacity_n,rear_total_capacity_n,total_vertical_load_n
0.0,0.0,0.0,9445.905375,7617.665625,14219.642500000002
0.0,0.015,1.1637885453083923,9451.329865187137,7612.2411348128635,14219.6425
0.0,0.03,2.175628105820997,9466.19141430805,7597.379585691951,14219.642500000002
0.0,0.045,3.039189503482449,9488.428456067575,7575.142543932426,14219.642500000002
0.0,0.06,3.7602516046299463,9516.091442497504,7547.479557502498,14219.642500000002
0.0,0.075,4.3491408605334945,9547.446330661787,7516.124669338212,14219.642500000002
-0.08,0.0,0.0,9369.32213723444,7687.0591138238215,14219.642500000002
-0.08,0.015,1.1632126101679314,9372.39834697228,7680.402567787332,14219.6425
-0.08,0.03,2.1738087674537785,9381.276083168585,7662.544463275732,14219.642500000002
-0.08,0.045,3.0363232946926293,9395.310650764763,7636.422177467249,14219.642500000002
-0.08,0.06,3.7571274510822565,9413.731113787875,7604.660610336006,14219.642500000002
-0.08,0.075,4.346557928195591,9435.699245777581,7569.481912121102,14219.642500000002
