normal_load_n,slip_angle_deg,production_fy_n,reference_fy_n,absolute_error_n,effective_mu,reference_mu
2000.0,-15,-2513.0203790251,-2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,-14,-2513.0203790251,-2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,-13,-2513.0203790251,-2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,-12,-2513.0203790251,-2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,-11,-2513.0203790251,-2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,-10,-2513.0203790251,-2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,-9,-2513.0203790251,-2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,-8,-2513.0203790251,-2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,-7,-2512.990543427824,-2512.990543427824,0.0,1.2565101895125497,1.2565101895125497
2000.0,-6,-2502.0321042156,-2502.0321042155992,9.094947017729282e-13,1.2565101895125497,1.2565101895125497
2000.0,-5,-2442.615382379031,-2442.6153823790305,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,-4,-2293.8258769691884,-2293.8258769691874,9.094947017729282e-13,1.2565101895125497,1.2565101895125497
2000.0,-3,-2015.282603081497,-2015.2826030814967,2.2737367544323206e-13,1.2565101895125497,1.2565101895125497
2000.0,-2,-1566.8828247375495,-1566.8828247375493,2.2737367544323206e-13,1.2565101895125497,1.2565101895125497
2000.0,-1,-908.5524962350339,-908.5524962350339,0.0,1.2565101895125497,1.2565101895125497
2000.0,0,0.0,0.0,0.0,1.2565101895125497,1.2565101895125497
2000.0,1,908.5524962350339,908.5524962350339,0.0,1.2565101895125497,1.2565101895125497
2000.0,2,1566.8828247375495,1566.8828247375493,2.2737367544323206e-13,1.2565101895125497,1.2565101895125497
2000.0,3,2015.282603081497,2015.2826030814967,2.2737367544323206e-13,1.2565101895125497,1.2565101895125497
2000.0,4,2293.8258769691884,2293.8258769691874,9.094947017729282e-13,1.2565101895125497,1.2565101895125497
2000.0,5,2442.615382379031,2442.6153823790305,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,6,2502.0321042156,2502.0321042155992,9.094947017729282e-13,1.2565101895125497,1.2565101895125497
2000.0,7,2512.990543427824,2512.990543427824,0.0,1.2565101895125497,1.2565101895125497
2000.0,8,2513.0203790251,2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,9,2513.0203790251,2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,10,2513.0203790251,2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,11,2513.0203790251,2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,12,2513.0203790251,2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,13,2513.0203790251,2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,14,2513.0203790251,2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
2000.0,15,2513.0203790251,2513.0203790250994,4.547473508864641e-13,1.2565101895125497,1.2565101895125497
3500.0,-15,-4205.242212642648,-4205.242212642648,0.0,1.2014977750407567,1.2014977750407567
3500.0,-14,-4205.242212642648,-4205.242212642648,0.0,1.2014977750407567,1.2014977750407567
3500.0,-13,-4205.242212642648,-4205.242212642648,0.0,1.2014977750407567,1.2014977750407567
3500.0,-12,-4205.242212642648,-4205.242212642648,0.0,1.2014977750407567,1.2014977750407567
3500.0,-11,-4203.430007965345,-4203.430007965348,2.7284841053187847e-12,1.2014977750407567,1.2014977750407567
3500.0,-10,-4187.563261106202,-4187.563261106201,9.094947017729282e-13,1.2014977750407567,1.2014977750407567
3500.0,-9,-4142.08116122988,-4142.08116122988,0.0,1.2014977750407567,1.2014977750407567
3500.0,-8,-4051.9204034236773,-4051.920403423677,4.547473508864641e-13,1.2014977750407567,1.2014977750407567
3500.0,-7,-3902.4129870496336,-3902.4129870496345,9.094947017729282e-13,1.2014977750407567,1.2014977750407567
3500.0,-6,-3679.1845326665416,-3679.1845326665416,0.0,1.2014977750407567,1.2014977750407567
3500.0,-5,-3368.0574687557823,-3368.0574687557823,0.0,1.2014977750407567,1.2014977750407567
3500.0,-4,-2954.9580601868943,-2954.9580601868943,0.0,1.2014977750407567,1.2014977750407567
3500.0,-3,-2425.826318996009,-2425.826318996009,0.0,1.2014977750407567,1.2014977750407567
3500.0,-2,-1766.5278917570884,-1766.5278917570884,0.0,1.2014977750407567,1.2014977750407567
3500.0,-1,-962.7670578295794,-962.7670578295795,1.1368683772161603e-13,1.2014977750407567,1.2014977750407567
3500.0,0,0.0,0.0,0.0,1.2014977750407567,1.2014977750407567
3500.0,1,962.7670578295794,962.7670578295795,1.1368683772161603e-13,1.2014977750407567,1.2014977750407567
3500.0,2,1766.5278917570884,1766.5278917570884,0.0,1.2014977750407567,1.2014977750407567
3500.0,3,2425.826318996009,2425.826318996009,0.0,1.2014977750407567,1.2014977750407567
3500.0,4,2954.9580601868943,2954.9580601868943,0.0,1.2014977750407567,1.2014977750407567
3500.0,5,3368.0574687557823,3368.0574687557823,0.0,1.2014977750407567,1.2014977750407567
3500.0,6,3679.1845326665416,3679.1845326665416,0.0,1.2014977750407567,1.2014977750407567
3500.0,7,3902.4129870496336,3902.4129870496345,9.094947017729282e-13,1.2014977750407567,1.2014977750407567
3500.0,8,4051.9204034236773,4051.920403423677,4.547473508864641e-13,1.2014977750407567,1.2014977750407567
3500.0,9,4142.08116122988,4142.08116122988,0.0,1.2014977750407567,1.2014977750407567
3500.0,10,4187.563261106202,4187.563261106201,9.094947017729282e-13,1.2014977750407567,1.2014977750407567
3500.0,11,4203.430007965345,4203.430007965348,2.7284841053187847e-12,1.2014977750407567,1.2014977750407567
3500.0,12,4205.242212642648,4205.242212642648,0.0,1.2014977750407567,1.2014977750407567
3500.0,13,4205.242212642648,4205.242212642648,0.0,1.2014977750407567,1.2014977750407567
3500.0,14,4205.242212642648,4205.242212642648,0.0,1.2014977750407567,1.2014977750407567
3500.0,15,4205.242212642648,4205.242212642648,0.0,1.2014977750407567,1.2014977750407567
5000.0,-15,-5835.259353784424,-5835.259353784424,0.0,1.1676987467784539,1.1676987467784539
5000.0,-14,-5820.354634438016,-5820.354634438016,0.0,1.1676987467784539,1.1676987467784539
5000.0,-13,-5785.076183159071,-5785.07618315907,9.094947017729282e-13,1.1676987467784539,1.1676987467784539
5000.0,-12,-5721.1589676784615,-5721.1589676784615,0.0,1.1676987467784539,1.1676987467784539
5000.0,-11,-5620.675077160307,-5620.675077160307,0.0,1.1676987467784539,1.1676987467784539
5000.0,-10,-5475.970373382884,-5475.970373382884,0.0,1.1676987467784539,1.1676987467784539
5000.0,-9,-5279.605624996784,-5279.605624996783,9.094947017729282e-13,1.1676987467784539,1.1676987467784539
5000.0,-8,-5024.301406671528,-5024.301406671526,1.8189894035458565e-12,1.1676987467784539,1.1676987467784539
5000.0,-7,-4702.886114316138,-4702.886114316138,0.0,1.1676987467784539,1.1676987467784539
5000.0,-6,-4308.246505390361,-4308.246505390361,0.0,1.1676987467784539,1.1676987467784539
5000.0,-5,-3833.2802209883453,-3833.2802209883453,0.0,1.1676987467784539,1.1676987467784539
5000.0,-4,-3270.8497850051854,-3270.849785005185,4.547473508864641e-13,1.1676987467784539,1.1676987467784539
5000.0,-3,-2613.7376062040566,-2613.737606204056,4.547473508864641e-13,1.1676987467784539,1.1676987467784539
5000.0,-2,-1854.6015321178027,-1854.6015321178027,0.0,1.1676987467784539,1.1676987467784539
5000.0,-1,-985.9305200093793,-985.9305200093794,1.1368683772161603e-13,1.1676987467784539,1.1676987467784539
5000.0,0,0.0,0.0,0.0,1.1676987467784539,1.1676987467784539
5000.0,1,985.9305200093793,985.9305200093794,1.1368683772161603e-13,1.1676987467784539,1.1676987467784539
5000.0,2,1854.6015321178027,1854.6015321178027,0.0,1.1676987467784539,1.1676987467784539
5000.0,3,2613.7376062040566,2613.737606204056,4.547473508864641e-13,1.1676987467784539,1.1676987467784539
5000.0,4,3270.8497850051854,3270.849785005185,4.547473508864641e-13,1.1676987467784539,1.1676987467784539
5000.0,5,3833.2802209883453,3833.2802209883453,0.0,1.1676987467784539,1.1676987467784539
5000.0,6,4308.246505390361,4308.246505390361,0.0,1.1676987467784539,1.1676987467784539
