integrator,timestep_s,final_yaw_rate_error_rad_s,peak_lateral_accel_error_m_s2,peak_utilization_error,endpoint_error_m
euler,0.01,0.0008972510748889995,0.03191335307107224,0.0030156050579416283,0.013970707096859448
euler,0.005,0.0004475612459155648,0.0158309072502405,0.0014873566636361968,0.0069933842905374344
euler,0.002,0.00017878529292104928,0.00633182980578173,0.000590019486332749,0.002799401548649034
euler,0.001,8.935405397256235e-05,0.003161625894258613,0.00029406512338803203,0.001400049517867989
euler,0.0005,4.466749862114261e-05,0.0015790067554251053,0.00014667603191831358,0.0007001129666163319
rk4,0.01,6.541391261993823e-09,0.000357789954901655,3.019688054051173e-07,8.06621963762186e-08
rk4,0.005,3.609869625442741e-10,6.972496768398173e-06,3.3739690596945593e-07,1.4445223070507284e-08
rk4,0.002,1.3324230607736354e-11,2.3607259302949046e-06,3.3965161694293755e-07,3.194792366261124e-10
rk4,0.001,4.0493997044421803e-13,2.3615846318492117e-06,3.3970694901519494e-07,3.9768226622294365e-11
rk4,0.0005,3.595734821004726e-14,4.5075054799781356e-12,8.903988657493755e-14,1.1183509998793902e-11
